Juego,Libros,Género,Sistema,Complejidad,Descripción,URL,ID
"Dungeons and Dragons","Oficial AD&D. Players Handbook (I) | Oficial AD&D. Dungeon Master Guide (I) | Oficial AD&D. Monster Manual. (I) | D&D. Players'Guide to inmortals. (I) | D&D. DM'S Guide to inmortals. (I) | D&D. Basic. Red box (I) | D&D Básico. | Reinos olvidados. Escenario de campaña. AD&D. | Las ruinas de bajomontaña. AD&D | Retorno a la tumba de los Horrores. AD&D. | Compendio de monstruos. AD&D. 2ª Edición. | Manual del jugador. AD&D. 2ª Edición. | Guía del Dungeon Master. AD&D. 2ª Edición. | Tomo de magia. AD&D. 2ª Edición. | Planescape. AD&D. 2ª Edición. | Dark Sun. Escenario de campaña. AD&D. 2ª Edición. (I) | … | D&D. 5ª. Manual del narrador | D&D. 5ª. Manual del monstruos | … | Kingsmouth. 5ª. Providence","Fantasía","Dungeons & Dragons","3.50","Juego de rol fundacional de fantasía con múltiples ediciones, desde AD&D hasta la versión actual de 5ª edición, centrado en la aventura, exploración y creación de personajes.","https://rpggeek.com/rpgfamily/192/dungeons-and-dragons","192"
"El resurgir del dragón","El legado de Arather.","Fantasía","D&D5","Media","Juego ambientado en Voldor con magias, razas y bestiario original compatible con D&D 5ª edición.","https://rpggeek.com/rpg/66534/el-resurgir-del-dragon","66534"
"Clásicos del mazmorreo","Clásicos del mazmorreo | Clásicos del mazmorreo (reedición) | Pantalla | Pantalla (reedición) | Marineros de un mar sin estrellas | Phlogiston books. Volumen 1 | Phlogiston books. Volumen 2 | Los salones verticales. | El pueblo de la sima | La perdición de los Reyes bárbaros | La funesta mano del destino | La torre de la perla negra/Sangre para el rey serpiente. | La prometida de la mansión negra | Las joyas de la matarife | Aquel que observa desde las profundidades | Intriga en la corte del caos | Carnaval de las delicias terrenales | Operación Dagón | Peligro en el planeta púrpura | Espadas contra la muerte | Congelados en el tiempo | Clásicos de Ishtar","Fantasía","DCC RPG","2.90","Juego de mazmorreo old‑school con sistema derivado d20, embudos letales, magia impredecible y espíritu ""espada y brujería"".","https://rpggeek.com/rpg/10737/dungeon-crawl-classics-role-playing-game","10737"
"Labyrinth Lord","Labyrinth Lord.","Fantasía","Retro‑clone","2.10","Retro‑clone compatible con D&D B/X, con sistema sencillo y enfoque old‑school de mazmorreo.","https://rpggeek.com/rpgitem/47712/labyrinth-lord","47712"
"Rifts","Rifts. Libro básico (I)","Ciencia ficción","Megaversal","Alta","RPG multi‑género post‑apocalíptico con tecnología, magia y viajes dimensionales en la Tierra futura.","https://rpggeek.com/rpgitem/44485/rifts","44485"
"Symbaroum","Symbaourum | Aventuras Volumen 1.","Fantasía","Propio","3.50","RPG de fantasía oscura con sistema basado en d20 roll‑under y ambientación en el bosque de Davokar.","https://rpggeek.com/rpgitem/188156/symbaroum-core-rulebook","188156"
"Apéndice Ñ","El mester de mancebía.","Fantasía","D6 (OSR)","Media","Módulo picaresco ambientado en el Siglo de Oro, compatible con OSR y motores como Labyrinth Lord.","","Pendiente"
"Conan","Conan | Los señores del acero | Los pergaminos de Skelos | Islas piratas | ...","Sword & Sorcery","ZeFRS / D20","Media","RPG ambientado en la Hyborian Age con sistema ZeFRS (TSR ’85) o Mongoose d20; espada y brujería clásica.","https://rpggeek.com/rpgitem/45421/conan-the-roleplaying-game-second-edition","45421"
"13th Age","13th Age",Fantasía,d20,2.60,"Juego de fantasía d20 centrado en la historia; cada héroe tiene un rasgo único, la Escalada acelera combates y los Íconos impulsan la narrativa épica.","https://rpggeek.com/rpg/17925/13th-age","17925"
"Slaine","Slaine | Tir Nan Og | Libro de tribus. Volumen 1 | Libro de tribus. Volumen 2",Fantasía,d20,Media,"RPG de fantasía celta basado en el cómic 2000 AD; usa d20 para aventuras brutales en Tir Nan Og con magia de tierra y furia warp-spasm.","https://rpggeek.com/rpgitem/51074/slaine-the-roleplaying-game-of-celtic-heroes-d20","51074"
